Reading#,X,Y,Z
1,0,0,16384
2,0,0,16384
3,0,0,16384
4,0,0,16384
5,0,0,16384
6,0,0,16384
7,0,0,16384
8,0,0,16384
9,0,0,16384
10,0,0,16384
11,0,0,16384
12,0,0,16384
13,0,0,16384
14,0,0,16384
15,0,0,16384
16,0,0,16384
17,0,0,16384
18,0,0,16384
19,0,0,16384
20,0,0,16384
